"SN","EXPT","LOCATION","YEAR","PLOT","ROW","COLUMN","CHECKS","BLOCK","ENTRY","TREATMENT","REP","UNIQUE_ID","Florescimento Inicial","Florescimento Final"
"1","Flax2024","FLORIANÓPOLIS","2024","1001","1","1","0","1","32","G226","1","2d687daa-13cf-11ef-8000-65ced3b81073","2024-09-24",
"2","Flax2024","FLORIANÓPOLIS","2024","1002","1","2","0","1","29","G218","1","2d687dc8-13cf-11ef-8000-65ced3b81073","2024-09-24",
"3","Flax2024","FLORIANÓPOLIS","2024","1003","1","3","0","1","21","G11","1","2d687ddc-13cf-11ef-8000-65ced3b81073","2024-09-24",
"4","Flax2024","FLORIANÓPOLIS","2024","1004","1","4","0","1","43","G71M","1","2d687de6-13cf-11ef-8000-65ced3b81073","2024-10-01",
"5","Flax2024","FLORIANÓPOLIS","2024","1005","1","5","0","1","9","G37","1","2d687df0-13cf-11ef-8000-65ced3b81073","2024-10-01",
"6","Flax2024","FLORIANÓPOLIS","2024","1006","1","6","1","1","1","ST_PIONEIRA","1","2d687e04-13cf-11ef-8000-65ced3b81073","2024-11-05",
"7","Flax2024","FLORIANÓPOLIS","2024","1007","1","7","0","1","25","G2","1","2d687e0e-13cf-11ef-8000-65ced3b81073","2024-10-08",
"8","Flax2024","FLORIANÓPOLIS","2024","1008","1","8","0","1","14","G69M","1","2d687e18-13cf-11ef-8000-65ced3b81073","2024-10-08",
"9","Flax2024","FLORIANÓPOLIS","2024","1009","1","9","0","1","20","G104","1","2d687e22-13cf-11ef-8000-65ced3b81073","2024-09-10",
"10","Flax2024","FLORIANÓPOLIS","2024","1010","1","10","0","1","12","G55D","1","2d687e23-13cf-11ef-8000-65ced3b81073","2024-09-17",
"11","Flax2024","FLORIANÓPOLIS","2024","1011","2","10","1","2","1","ST_PIONEIRA","2","2d687e2c-13cf-11ef-8000-65ced3b81073","2024-09-17",
"12","Flax2024","FLORIANÓPOLIS","2024","1012","2","9","0","2","28","G216","2","2d687e36-13cf-11ef-8000-65ced3b81073","2024-09-10",
"13","Flax2024","FLORIANÓPOLIS","2024","1013","2","8","0","2","30","G223","2","2d687e40-13cf-11ef-8000-65ced3b81073","2024-09-24",
"14","Flax2024","FLORIANÓPOLIS","2024","1014","2","7","0","2","45","G74","2","2d687e54-13cf-11ef-8000-65ced3b81073","2024-09-24",
"15","Flax2024","FLORIANÓPOLIS","2024","1015","2","6","0","2","46","G84","2","2d687e55-13cf-11ef-8000-65ced3b81073","2024-10-29",
"16","Flax2024","FLORIANÓPOLIS","2024","1016","2","5","0","2","18","G88","2","2d687e5e-13cf-11ef-8000-65ced3b81073","2024-10-01",
