Horário;Radiação Solar;Temperatura do Ar Máxima;Temperatura do Ar Mínima;Umidade do Ar Média;Vento Velocidade;Manutenção;Observação manutenção
21-04-2023 00:00;;17.210;15.386;82.952;0.169;Não;
21-04-2023 01:00;;15.782;15.304;87.952;0.442;Não;
21-04-2023 02:00;;15.739;14.409;88.301;0.657;Não;
21-04-2023 03:00;;15.870;14.281;89.065;0.236;Não;
21-04-2023 04:00;;15.696;14.850;86.748;0.552;Não;
21-04-2023 05:00;;15.087;14.056;89.387;0.138;Não;
21-04-2023 06:00;;15.130;14.692;89.607;0.145;Não;
21-04-2023 07:00;;15.205;14.652;88.978;0.343;Não;
21-04-2023 08:00;;14.708;14.169;89.947;0.148;Não;
21-04-2023 09:00;;15.952;14.366;90.198;0.833;Não;
21-04-2023 10:00;;17.055;15.912;86.935;1.401;Não;
21-04-2023 11:00;;18.615;17.029;83.173;0.759;Não;
21-04-2023 12:00;;19.872;18.585;79.888;1.305;Não;
21-04-2023 13:00;;22.823;19.830;75.428;0.328;Não;
21-04-2023 14:00;;23.192;22.284;74.214;0.741;Não;
21-04-2023 15:00;;23.136;22.626;75.261;1.712;Não;
21-04-2023 16:00;;23.659;22.596;74.276;1.471;Não;
21-04-2023 17:00;;22.738;22.041;76.131;0.965;Não;
21-04-2023 18:00;;22.185;21.787;78.386;0.600;Não;
21-04-2023 19:00;;21.816;20.214;84.502;0.000;Não;
21-04-2023 20:00;;20.356;19.477;89.678;0.000;Não;
21-04-2023 21:00;;19.619;19.277;93.119;0.000;Não;
21-04-2023 22:00;;19.704;19.109;92.766;0.000;Não;
21-04-2023 23:00;;19.437;19.053;94.314;0.000;Não;
22-04-2023 00:00;;19.053;18.358;95.971;0.000;Não;
22-04-2023 01:00;;18.374;17.539;96.451;0.000;Não;
22-04-2023 02:00;;17.936;17.483;97.496;0.000;Não;
22-04-2023 03:00;;17.993;17.127;98.097;0.000;Não;
22-04-2023 04:00;;17.835;17.426;99.199;0.117;Não;
22-04-2023 05:00;;18.487;17.835;98.925;0.179;Não;
22-04-2023 06:00;;18.374;18.105;99.300;0.146;Não;
22-04-2023 07:00;;18.316;17.878;99.800;0.196;Não;
22-04-2023 08:00;;18.657;18.217;99.083;0.740;Não;
22-04-2023 09:00;;19.760;18.601;97.349;1.140;Não;
22-04-2023 10:00;;20.172;19.338;95.259;0.881;Não;
22-04-2023 11:00;;22.257;20.059;90.682;1.737;Não;
22-04-2023 12:00;;23.913;22.057;83.637;2.314;Não;
22-04-2023 13:00;;25.162;23.432;78.369;2.264;Não;
22-04-2023 14:00;;25.688;24.722;72.649;2.907;Não;
22-04-2023 15:00;;25.801;24.623;72.569;3.004;Não;
22-04-2023 16:00;;26.380;24.919;69.495;3.037;Não;
22-04-2023 17:00;;25.955;25.192;69.534;2.968;Não;
22-04-2023 18:00;;25.603;23.942;72.577;2.565;Não;
22-04-2023 19:00;;23.971;21.985;80.081;2.223;Não;
22-04-2023 20:00;;21.998;20.102;87.249;0.224;Não;
22-04-2023 21:00;;20.214;19.803;93.173;0.001;Não;
22-04-2023 22:00;;20.102;18.513;94.960;0.000;Não;
22-04-2023 23:00;;18.868;17.637;97.638;0.000;Não;
23-04-2023 00:00;;17.891;17.197;99.121;0.000;Não;
23-04-2023 01:00;;18.585;17.312;99.963;0.000;Não;
23-04-2023 02:00;;19.053;18.105;99.263;0.000;Não;
23-04-2023 03:00;;19.237;18.911;97.446;0.170;Não;
23-04-2023 04:00;;19.194;18.770;96.411;0.014;Não;
23-04-2023 05:00;;19.208;18.358;96.160;0.000;Não;
23-04-2023 06:00;;18.585;16.377;96.227;0.000;Não;
23-04-2023 07:00;;16.874;15.640;98.498;0.000;Não;
23-04-2023 08:00;;16.305;15.683;99.721;0.000;Não;
23-04-2023 09:00;;18.487;15.968;100.000;0.000;Não;
23-04-2023 10:00;;21.606;18.444;99.952;0.017;Não;
23-04-2023 11:00;;24.383;21.573;88.118;0.293;Não;
23-04-2023 12:00;;25.291;23.475;80.962;2.018;Não;
23-04-2023 13:00;;25.149;24.142;78.662;2.347;Não;
23-04-2023 14:00;;25.389;24.254;76.718;2.264;Não;
23-04-2023 15:00;;24.722;20.583;89.643;3.598;Não;
23-04-2023 16:00;;22.893;20.780;94.304;1.424;Não;
23-04-2023 17:00;;23.857;22.652;87.105;0.358;Não;
23-04-2023 18:00;;23.787;22.116;88.562;1.235;Não;
23-04-2023 19:00;;22.142;20.866;91.257;0.920;Não;
23-04-2023 20:00;;21.021;20.073;95.561;0.267;Não;
23-04-2023 21:00;;20.244;19.958;98.235;1.338;Não;
23-04-2023 22:00;;20.994;20.102;99.093;1.442;Não;
